1,Tech & Innovation,"or(concept('technology'), concept('AI'), concept('software engineering'), concept('computer programming languages'), concept('development'), concept('cybersecurity'), concept('emerging technologies'), concept('hardware'))"
2,Business & Finance,"or(concept('business'), concept('finance'), concept('investment strategies'), concept('market trends'), concept('entrepreneurship'))"
3,Startup Ideas & Innovation,"or(concept('startups'), concept('entrepreneurship'), concept('business models'), concept('innovation'), concept('companies'))"
4,Internship Postings & Mentorship,"or(concept('education'), concept('career'), concept('mentorship'), concept('internships'), concept('guidance'))"
5,Placement Guidance & Job Support,"or(concept('career'), concept('job support'), concept('resume building'), concept('interview preparation'), concept('employment'))"
6,College Life & Activities,"or(concept('education'), concept('student life'), concept('college activities'), concept('clubs'), concept('campus events'))"
7,Professional Development & Careers,"or(concept('career development'), concept('job opportunities'), concept('professional growth'), concept('networking'))"
8,Alumni Events & Reunions,"or(concept('events'), concept('alumni gatherings'), concept('reunions'), concept('networking'), concept('community'))"
9,Women in Leadership,"or(concept('leadership'), concept('women empowerment'), concept('career growth'), concept('mentorship'))"
10,Campus Memories,"or(concept('college memories'), concept('student life'), concept('nostalgia'), concept('photos'), concept('university days'))"
11,Volunteering & Social Impact,"or(concept('social impact'), concept('volunteering'), concept('community service'), concept('giving back'), concept('social initiatives'))"
12,Faculty & Research Connect,"or(concept('research'), concept('faculty'), concept('academic publications'), concept('collaboration'), concept('education'))"
13,Alumni Abroad,"or(concept('travel'), concept('living abroad'), concept('expat life'), concept('global alumni'), concept('networking'))"
